database,category,workload,metric,value
neo4j,ingestion,,elapsed_seconds,22.340236600022763
neo4j,ingestion,,nodes_per_second,1642.4176993704093
neo4j,ingestion,,relationships_per_second,8228.695303961673
memgraph,ingestion,,elapsed_seconds,10.565575000015087
memgraph,ingestion,,nodes_per_second,3472.7878037823407
memgraph,ingestion,,relationships_per_second,17399.0530567184
falkordb,ingestion,,elapsed_seconds,0.7990227000555024
falkordb,ingestion,,nodes_per_second,45921.098358596406
falkordb,ingestion,,relationships_per_second,230069.80901447553
arcadedb,ingestion,,elapsed_seconds,4.129782099975273
arcadedb,ingestion,,nodes_per_second,8884.730262214001
arcadedb,ingestion,,relationships_per_second,44513.48655927892
cognodb,ingestion,,elapsed_seconds,61.83949550008401
cognodb,ingestion,,nodes_per_second,593.3424861131048
cognodb,ingestion,,relationships_per_second,2972.711832679008
neo4j,query,point_lookup,mean_ms,7.445592998992652
neo4j,query,point_lookup,min_ms,1.3195000356063247
neo4j,query,point_lookup,p50_ms,1.7703500343486667
neo4j,query,point_lookup,p95_ms,79.79820498730987
neo4j,query,point_lookup,p99_ms,84.31079996982591
neo4j,query,point_lookup,max_ms,85.60769993346184
neo4j,query,point_lookup,qps,134.3002052814437
memgraph,query,point_lookup,mean_ms,0.5493360001128167
memgraph,query,point_lookup,min_ms,0.4317000275477767
memgraph,query,point_lookup,p50_ms,0.5346499965526164
memgraph,query,point_lookup,p95_ms,0.7700850313995034
memgraph,query,point_lookup,p99_ms,0.8751970110461127
memgraph,query,point_lookup,max_ms,1.092699938453734
memgraph,query,point_lookup,qps,1819.534891397744
falkordb,query,point_lookup,mean_ms,0.4356369993183762
falkordb,query,point_lookup,min_ms,0.32760004978626966
falkordb,query,point_lookup,p50_ms,0.43165002716705203
falkordb,query,point_lookup,p95_ms,0.5019599746447057
falkordb,query,point_lookup,p99_ms,0.5259110440965743
falkordb,query,point_lookup,max_ms,0.546799972653389
falkordb,query,point_lookup,qps,2293.935749339994
arcadedb,query,point_lookup,mean_ms,67.95128000085242
arcadedb,query,point_lookup,min_ms,22.25250005722046
arcadedb,query,point_lookup,p50_ms,68.11995001044124
arcadedb,query,point_lookup,p95_ms,72.32092003687285
arcadedb,query,point_lookup,p99_ms,73.63397902925513
arcadedb,query,point_lookup,max_ms,100.87670001666993
arcadedb,query,point_lookup,qps,14.716327699432512
cognodb,query,point_lookup,mean_ms,246.21343899983913
cognodb,query,point_lookup,min_ms,241.21120001655072
cognodb,query,point_lookup,p50_ms,243.486049992498
cognodb,query,point_lookup,p95_ms,261.8030900659505
cognodb,query,point_lookup,p99_ms,272.88973106537014
cognodb,query,point_lookup,max_ms,273.7936999183148
cognodb,query,point_lookup,qps,4.061504945239622
neo4j,query,relationship_lookup,mean_ms,6.467098002322018
neo4j,query,relationship_lookup,min_ms,1.1307999957352877
neo4j,query,relationship_lookup,p50_ms,1.5930500230751932
neo4j,query,relationship_lookup,p95_ms,79.22126004705206
neo4j,query,relationship_lookup,p99_ms,83.5081309254747
neo4j,query,relationship_lookup,max_ms,84.6497000893578
neo4j,query,relationship_lookup,qps,154.61996730143312
memgraph,query,relationship_lookup,mean_ms,1.1054380040150136
memgraph,query,relationship_lookup,min_ms,0.4184999270364642
memgraph,query,relationship_lookup,p50_ms,0.5166000337339938
memgraph,query,relationship_lookup,p95_ms,0.7639200717676428
memgraph,query,relationship_lookup,p99_ms,11.512020090595069
memgraph,query,relationship_lookup,max_ms,46.60949995741248
memgraph,query,relationship_lookup,qps,904.4011777123901
falkordb,query,relationship_lookup,mean_ms,0.4859690018929541
falkordb,query,relationship_lookup,min_ms,0.3942000912502408
falkordb,query,relationship_lookup,p50_ms,0.47500000800937414
falkordb,query,relationship_lookup,p95_ms,0.5776950740255414
falkordb,query,relationship_lookup,p99_ms,0.6949120457284156
falkordb,query,relationship_lookup,max_ms,0.7752999663352966
falkordb,query,relationship_lookup,qps,2056.2296563371115
arcadedb,query,relationship_lookup,mean_ms,68.54947299929336
arcadedb,query,relationship_lookup,min_ms,62.862600083462894
arcadedb,query,relationship_lookup,p50_ms,68.21960001252592
arcadedb,query,relationship_lookup,p95_ms,73.0899199610576
arcadedb,query,relationship_lookup,p99_ms,74.72845799755305
arcadedb,query,relationship_lookup,max_ms,76.02119992952794
arcadedb,query,relationship_lookup,qps,14.587920352938223
cognodb,query,relationship_lookup,mean_ms,247.08816099795513
cognodb,query,relationship_lookup,min_ms,241.1007999908179
cognodb,query,relationship_lookup,p50_ms,244.166899996344
cognodb,query,relationship_lookup,p95_ms,262.91500992374495
cognodb,query,relationship_lookup,p99_ms,288.2982010487467
cognodb,query,relationship_lookup,max_ms,292.2087999759242
cognodb,query,relationship_lookup,qps,4.047130141779362
neo4j,query,traversal,mean_ms,36.1411160021089
neo4j,query,traversal,min_ms,30.14599997550249
neo4j,query,traversal,p50_ms,32.836100028362125
neo4j,query,traversal,p95_ms,54.96063493774267
neo4j,query,traversal,p99_ms,92.74965498480022
neo4j,query,traversal,max_ms,107.4467001017183
neo4j,query,traversal,qps,27.669012426724564
memgraph,query,traversal,mean_ms,27.83366999705322
memgraph,query,traversal,min_ms,25.32220003195107
memgraph,query,traversal,p50_ms,27.108200010843575
memgraph,query,traversal,p95_ms,31.54375003068707
memgraph,query,traversal,p99_ms,37.494169045239715
memgraph,query,traversal,max_ms,43.57959993649274
memgraph,query,traversal,qps,35.92714248499111
falkordb,query,traversal,mean_ms,9.595839001704007
falkordb,query,traversal,min_ms,8.742000092752278
falkordb,query,traversal,p50_ms,9.299050027038902
falkordb,query,traversal,p95_ms,10.407244955422357
falkordb,query,traversal,p99_ms,16.619919950608168
falkordb,query,traversal,max_ms,17.39410008303821
falkordb,query,traversal,qps,104.20824140503193
arcadedb,query,traversal,mean_ms,69.1749419993721
arcadedb,query,traversal,min_ms,65.97029999829829
arcadedb,query,traversal,p50_ms,68.6209499835968
arcadedb,query,traversal,p95_ms,73.01193005405366
arcadedb,query,traversal,p99_ms,73.87360404827632
arcadedb,query,traversal,max_ms,74.63629997801036
arcadedb,query,traversal,qps,14.4560279794091
cognodb,query,traversal,mean_ms,536.1074569984339
cognodb,query,traversal,min_ms,516.232299967669
cognodb,query,traversal,p50_ms,528.7050499464385
cognodb,query,traversal,p95_ms,566.3314899138641
cognodb,query,traversal,p99_ms,634.1935740667396
cognodb,query,traversal,max_ms,653.4959999844432
cognodb,query,traversal,qps,1.865295085343474
neo4j,query,aggregation,mean_ms,2.9270130023360252
neo4j,query,aggregation,min_ms,0.916199991479516
neo4j,query,aggregation,p50_ms,1.1018000077456236
neo4j,query,aggregation,p95_ms,1.7341599974315602
neo4j,query,aggregation,p99_ms,61.885134030599204
neo4j,query,aggregation,max_ms,73.26360000297427
neo4j,query,aggregation,qps,341.60448891695785
memgraph,query,aggregation,mean_ms,6.1962089978624135
memgraph,query,aggregation,min_ms,2.4248999543488026
memgraph,query,aggregation,p50_ms,2.792300016153604
memgraph,query,aggregation,p95_ms,55.56448502466082
memgraph,query,aggregation,p99_ms,60.2818721078802
memgraph,query,aggregation,max_ms,61.76409998442978
memgraph,query,aggregation,qps,161.37788309788175
falkordb,query,aggregation,mean_ms,0.43136299937032163
falkordb,query,aggregation,min_ms,0.34769997000694275
falkordb,query,aggregation,p50_ms,0.42429997120052576
falkordb,query,aggregation,p95_ms,0.5083700292743742
falkordb,query,aggregation,p99_ms,0.5375590093899524
falkordb,query,aggregation,max_ms,0.6622000364586711
falkordb,query,aggregation,qps,2317.024570161089
arcadedb,query,aggregation,mean_ms,47.3667180002667
